P9,1,0
P23,2,0
P83,0,0
P39,1,1
P70,0,1
P81,2,1
P59,0,2
P82,2,2
P27,0,3
P88,6,0
P3,0,4
P6,1,2
P8,0,5
P74,3,0
P51,1,3
P5,2,3
P36,0,6
P72,4,0
P24,6,1
P69,0,7
P33,1,4
P79,4,1
P45,5,0
P97,1,5
P84,0,8
P89,6,2
P29,7,0
P37,7,1
P85,0,9
P52,2,4
P68,5,1
P58,0,10
P4,1,6
P22,1,7
P19,4,2
P38,5,2
P92,7,2
P54,0,11
P62,0,12
P56,2,5
P99,0,13
P67,5,3
P42,0,14
P98,5,4
P26,3,1
P57,0,15
P87,2,6
P31,1,8
P2,0,16
P41,6,3
P21,1,9
P78,0,17
P61,1,10
P46,5,5
P53,1,11
P49,2,7
P95,2,8
P48,0,18
P30,1,12
P76,8,0
P60,0,19
P86,2,9
P47,3,2
P17,0,20
P75,0,21
P34,2,10
P15,9,0
P28,5,6
P50,6,4
P80,2,11
P94,0,22
P66,1,13
P65,1,14
P71,0,23
P12,0,24
P1,0,25
P32,0,26
P25,4,3
P64,1,15
P20,3,3
P18,0,27
P35,1,16
P13,0,28
P10,1,17
P16,0,29
P11,2,12
P40,1,18
P91,2,13
P43,1,19
P63,1,20
P73,0,30
P55,0,31
P44,2,14
P93,3,4
P14,7,3
P77,2,15
