P9,13,13
P23,14,11
P83,12,6
P39,13,6
P70,10,8
P81,17,6
P59,12,13
P82,14,8
P27,18,11
P88,21,6
P3,10,3
P6,11,3
P8,19,1
P74,20,4
P51,18,8
P5,19,12
P36,18,6
P72,17,7
P24,19,7
P69,13,14
P33,14,15
P79,17,12
P45,18,13
P97,13,12
P84,18,12
P89,19,10
P29,22,6
P37,20,7
P85,10,11
P52,14,12
P68,18,7
P58,11,8
P4,19,3
P22,13,11
P19,20,2
P38,21,2
P92,20,11
P54,13,15
P62,17,11
P56,19,8
P99,11,10
P67,18,10
P42,15,15
P98,18,15
P26,20,8
P57,14,3
P87,15,7
P31,16,14
P2,11,12
P41,19,5
P21,12,4
P78,12,3
P61,13,3
P46,18,5
P53,9,6
P49,19,4
P95,17,13
P48,20,5
P30,21,5
P76,21,7
P60,18,3
P86,10,2
P47,15,2
P17,16,4
P75,9,4
P34,10,5
P15,22,7
P28,18,9
P50,19,9
P80,14,4
P94,15,5
P66,17,3
P65,19,6
P71,13,9
P12,8,7
P1,12,9
P32,13,4
P25,17,5
P64,19,11
P20,16,7
P18,4,2
P35,9,2
P13,11,0
P10,12,0
P16,10,9
P11,13,5
P40,9,5
P91,13,1
P43,10,7
P63,12,5
P73,17,8
P55,12,1
P44,11,6
P93,16,8
P14,20,3
P77,15,0
